"2014.03.21.7:07:20" "cpu.usage.average" "394" "0" "2.41"
"2014.03.21.7:07:20" "cpu.usage.average" "394" "4" "2.3"
"2014.03.21.7:07:40" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "2" "1.25"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "" "1.97"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "4" "3.37"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "3" "0.42"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "7" "2.19"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "5" "2.83"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "1" "1.77"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "6" "2.46"
"2014.03.21.7:07:40" "cpu.usage.average" "394" "0" "1.48"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "0" "2.29"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "1" "1.84"
"2014.03.21.7:08:00" "mem.usage.average" "394" "" "31.31"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "6" "1.06"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "5" "1.74"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "7" "1.09"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "2" "1.15"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "4" "1.9"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "3" "1.31"
"2014.03.21.7:08:00" "cpu.usage.average" "394" "" "1.55"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "3" "2.7"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "1" "2.79"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "5" "1.25"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "6" "1.02"
"2014.03.21.7:08:20" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "0" "2.17"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "4" "2.19"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "2" "1.9"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "" "1.87"
"2014.03.21.7:08:20" "cpu.usage.average" "394" "7" "0.96"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "3" "3.4"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "" "2.23"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "5" "1.55"
"2014.03.21.7:08:40" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "2" "2.66"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "7" "1.68"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "4" "3.9"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "6" "1.55"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "0" "1.51"
"2014.03.21.7:08:40" "cpu.usage.average" "394" "1" "1.55"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "6" "4.89"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "4" "1.81"
"2014.03.21.7:09:00" "mem.usage.average" "394" "" "31.36"
